name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_7169,9,AABBBBBBCAAABBDBBCAABBBDDDCAAEFFFDDCEEEGGCCCCEEGGHCCCCEEEGHCIICGGGGHCCIIGGGGHHIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x.....x....x.x...x.......x..x...x..x...x......x.....x....x.x..,72,Beginner,True,True
puzzle_9354,9,ABCCCCCCDABBECCCDDAABEEECCDAAAEEEDDDAFFFGEHDDAFFFGGHHHAGGGGGIIHAAIIGIIHHAIIIIIIHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x..x..........x.x..x.x....x......x....x.x....x.....x....x.x...x.......x..x...x..,72,Beginner,True,True
puzzle_6914,9,AAABBBBBBAAABBBCCBDAEEEECCCDDDDEEEECDDDEEECCCFFGHHHIICFFGGGGGIIFFGGGGGIIFFGGGGIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x..........x...x..x...x..x.......x...x.x....x.....x....x.x....x.....x.,74,Beginner,True,True
puzzle_567,9,AAABBBBBBAAAABBBBCDAAEEFBBCDDEEEFFCCDDGEEFFCCDGGEEECCCDGGEEECHCDGGIIICHHGGGGGHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x..x.x.x...........x.x..x.x....x......x....x.x....x.....x.,74,Beginner,True,True
puzzle_3130,9,ABBCCCCCCABBCCDDCEABCCFFDEEABGGFFDEEABGGGFEEEAAAGFFFEEAAAGGHEEEAHHHHHIIIAHHHHHHII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x......x....x.x..x.x...........x.x.x..x...........x.x..x.x....,75,Beginner,True,True
puzzle_7129,9,ABBBBBBCCAABBBBBDCEAABFFDDCEAAFFFDDCEAAFGFDCCEHHHGFDCCEEEEGGGGIEEEEGGGIIEEEEGGIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x...........x.x..x.x...........x.x.x.x..........x..xx.x..........x.x..,76,Beginner,True,True
puzzle_2310,9,AAABCCCCCAAABBBCCCADABBCCCCADDDEEECCDDDDEEECFDGDDDHFFFDGGGGHFFFGGIIIHHFFGGIIIIIIF,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x...x.......x....x.x..x.x...........x.x..x.x...........x.x..x.x....,77,Beginner,True,True
puzzle_6692,9,AAABCCCDDAEABCCCDDEEABBBBDDEEAABFBDDEEAAFFBBBEEAAAFBBBGEAHIIIBBGGHHHHIIIGGHHHHIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.x.x.x..........x.x.x.x...........x.x.x..x...........x.x.x..x....,77,Beginner,True,True
puzzle_7106,9,AAABBBBBCAADDBEBBCAAADEEBCCDDDDEEBCFGDDDEEBFFGGDHIEFFFHGHHIIIFFHHHIIIIIFHIIIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.xx...x....,77,Beginner,True,True
puzzle_6113,9,AAABCDDDEAABBCCDDEAABBBCDDEAAAFBBEDEGGAFFBEEEGGGHFBEEEGGHHFBBIEGGHHFBIIIGGGFFBIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x...x,78,Beginner,True,True
puzzle_3085,9,AAAAABBBBCCCACCBBBDDCACEEBBDCCCCEEEEDDFCCEEEEFFFCEEGGEHHFHEIIGGHHHHIIIIIHHHHIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x......x....x.x..x.x..........x.x....x.....xx....x......x...x.,79,Beginner,True,True
puzzle_4680,9,AAAABBBBBAAAABBBCBDDAAEBCCBDDDEEECCCDDFFFCCGGDDFFCCGGHDIIFFCGGHIIIICCGGHIICCCCHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x.....x....x.x...x.......x..x...x......x...xx.x..........x.x..,80,Beginner,True,True
puzzle_9262,9,AAABCCDDDAABBBCCDDAEEBBBFDDAAEBBBFDGAAEFFFFFGAHHFFFFGGAHHHIIIIGHHIIIIIGGIIIIIIGGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x..x..........x.x.x.x..........x.x.x.x..........x.x....x.....xx....x......x...x.,80,Beginner,True,True
puzzle_7434,9,AABBBBBCCAABBBBBCCAABDDDDCEAAADDFFEEAAAGDFFEEHHAGGFEEEHGGGGFIEIHGGGIIIIIIIIIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x...xx.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x.x..,80,Beginner,True,True
puzzle_5512,9,ABBBBBBBCAABBBBDDCAAAEDBDDCAFFEDDDCCAAFEDDGGHAAFEEGGHHAIFFFGHHHIIFFFGGHHIFFFGGGHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.x.x.x..........x.x.x.x..........x.x...x......x...x.x...x......x.,80,Beginner,True,True
puzzle_8390,9,AAABCCCCCAABBCCCCCDAABCCCEEDADBBBEEEDDDBBBFFGDDDBHFFGGIIHHHFFGGIIIIHFGGGIIIIGGGGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x......x....x.x..x.x..........x.x....x.....xx....x......x...x.,83,Beginner,True,True
puzzle_3144,9,ABBBCCCCCAABDDDDCCAABBDDDDDAABDDDEDFAABBBEEFFAAEEEEFFGAHEIIIFGGAHEIIGGGGHHEEGGGGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x..........x.x....x.....xx....x......x...x..x...x......x....x.x....x..,83,Beginner,True,True
puzzle_3146,9,AABBBBBCCAABDBBBCCEABDDDCCCEEDDCCCFCEEDGCFFFFEEDGGGFFFHEGGHGIIIHHHHHHIIIHHHHHIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x...x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.x..x.x....,83,Beginner,True,True
puzzle_5905,9,AAAAABBBCADDAABECCDDAABBECCFAAAAAECCFFFGGEECCFFFGGEEHCFFFGGGGHHFIIIIGHHHFIIIIIHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x....x.....xx...x......x...x..x.......x...x.x....x.....x....x.x....x.....x.,83,Beginner,True,True
puzzle_8565,9,AABBBCCCCAABBBCCCCDABBEECCCDABBEFFFCDGGEEEFFFDDGEEEEHFGDGEEEHHHGGGIEEIHHGGGIIIIHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x...x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.x..x.x....,83,Beginner,True,True
puzzle_4324,9,ABBBBBBBBAACCBBBBDAAECCBFDDAAECCBFFDGAECCFFDDGGECEFFDHGGEEEFHHHIIIIIHHHHIIIIIHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x......x....x.x....x......x....x.x..x.x...........x.x..x.x...........x.x..x.x....,84,Beginner,True,True
puzzle_964,9,AAABBCCCCAABBBBCCDAAAAACCEDAAFFFCEEDAGGFFFEDDAGGFFFFDDGGGGFFFDHIIIIIHHHHIIIIHHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x..x.x....x......x....x.x....x......x,84,Beginner,True,True
puzzle_7705,9,AAAAAABBBACAAAABBBACACABBDBCCCCDDDDDEFFCCGDGGEEFFFGGGGHEFFFFGGGHHHHFIGGGHHHHHIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.x.x.x..........x.x.x.x..........x.x...x......x...x.x...x......x.,84,Beginner,True,True
puzzle_9330,9,AAAABBBBCAAAABBBCCAAADBBBCEAFFDDDEEEFFFDGDDDEHFFGGGEEEHFFGIGEEEHHHHIIIEEHHHIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x...xx.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x.x..,84,Beginner,True,True
puzzle_1578,9,AAABBBBBBAABBCDDBEAABBCDDDEACCCCFDDEGCCCCFFDHGGCFFFDDHGGIIHHHDHGGGIHHHHHGGGIIHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x...x......x....x.x....x......x...x..x...x..x...x......x....x.x....x......x...x.,84,Beginner,True,True
puzzle_1016,9,AABBBBBCCAADDBBBCCAAADDDBBCAAAEEEBCCAFAEGGGCCFFFEEGHCCFIEEIGHHCFIIIIHHHHFFIIIIIHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x..x.x.x...........x.x.x.x..........x.x.x.x..........x..x.,84,Beginner,True,True
puzzle_5094,9,AAAABBBCCAAAABBBCCAAABBBDDCAEEEBBDDDAFFFDDDDDFFGFDDHDDFGGGIHHHDGGGGIHHHDGGGIIIIHD,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x...........x..x.x.x...........x.x.x.x..........x.x.x.x..........x.x..,85,Beginner,True,True
puzzle_3250,9,AAAAAAAABCCCCCCAABDDCCEEAABDDDDFEEBBDDDDFFFBBDGGHFFFFBDGHHHFFFFGGHHIIIFIGGGGGIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x..........x...x..x...x..x.......x...x.x....x.....x....x.x....x.....x.,86,Beginner,True,True
puzzle_2292,9,AAAAAAABBAACCAABBBADDCCCEBEADDDDEEEEFDDDFFEEEFGGGFFHHEFFFFFFFHEIIFIIIIHHIIIIIIHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x...xx.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x.x..,86,Beginner,True,True
puzzle_6651,9,AAAAAABBBAAAAAACBBDDAAACCEEDDCCCCEEEDFFFEEEGEDHHFFFGGGHHHFFFFGGFFFFFIFGGFFFIIIIGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x.....x....x.x..,87,Beginner,True,True
puzzle_4432,9,AABBBBCCCAABBDEEECAAADDEEEEADDDDFEEEAAAGFFEEEAAAGGFHEEGGGGGFHHHIIGIGGHHHIIIIIGHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x....x.....xx...x......x....x.x....x......x...x..x...x......x....x.x....x..,89,Beginner,True,True
puzzle_3481,9,AAAABBCCCADABBBCCCADEEBBBCCDDEEBBFCGDDEEBBFCGDDDDHHFGGIDDDHHFGGIIIIHHGGGIIIIIGGGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x.....x....x.x..x.x..........x.x...x......x...x.x....x.....x.,90,Beginner,True,True
puzzle_4035,9,AABBBBBCCAAABBBBCCADAAABBBCDDADACCCCEDDDDDFFFEEEGGHHHFEEGGGHHHFEEGGGIIIIEGGIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x...........x..x.x.x...........x.x.x.x..........x.x.x.x..........x.x..,90,Beginner,True,True
puzzle_8868,9,AAABBCCCCADDBBBBCCAADDBEBBCAAADEEFFCAAGEEFFFCAGGEFFFCCAGGGFFFHCIGGIIFFHHIIIIIIFHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x...x,91,Beginner,True,True
puzzle_4843,9,AABBCCCCCAABBDDDCCAEEBBBDCCEEBBBBDCCEEFBBBDDCEEFFGGGHHEEEFGGGHHEEIGGGGHHEEIIIGGHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x...x.......x....x.x..x.x...........x.x..x.x...........x.x..x.x....,92,Beginner,True,True
puzzle_3754,9,AAAAAABBCDADAABBBCDDDEBBBBCDDEEBBBCCDEEEBBCCCDDFFBFGGGDHFFFFIGGDHIFIIIGGDHIIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.xx..x..........x.x.x.x...........x.x..x.x...........x.x.x..x....,93,Beginner,True,True
puzzle_5552,9,AAABBCCCCAABBBCCCCABBBBCCDDBBEFBBDDGHEEFBBDDGHEFFFDDGGHHHFFFFFGHHHIIFFIIIIIIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x...x......x...x.x..........x.x.x.x..........x..xx.x..........x.x..,94,Beginner,True,True
puzzle_4229,9,AAAAAABBBAAAAACDBBAEEAACDDDAEFFACDDDEEFFCCDGGFFFHCCDGGIIIHHHDDGIIIHHDDDGIIIHHHHDD,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x..........x.x..x.x....,95,Beginner,True,True
puzzle_2560,9,AAAABBCCCDAAAABBCCDDDDEECCCDDDDEFFCCDDDEEFCCCGGGEFFHHCGGGEEIIHHGIIIIIHHHGGIIIIIHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x...x......x...x......x...x..x...x..x.......x...x.x....x.....x....x.x....x.....x.,96,Beginner,True,True
puzzle_1471,9,AAAAABCCCDDAAABBCCDDDABBBBBEEDDDDBBBEEDFDGGGGEEHFGGGGGEEHFFIGGIEEHFFIGIIEEFFFIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x.....x....x.x..,97,Beginner,True,True
puzzle_959,9,AAAABBBCCAAADDBBCCAADDBBBCEADDBBBBFEGGGFBFFFEHGGFFFFEEHGGGFIIEIHHGGHIIIIHHHHHHIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x......x...x.x...x......x...x.x..........x.x.x.x..........x.x.x.x..........x.x..,99,Beginner,True,True
puzzle_4924,9,AAABBBCCCAAABBCCCCAAAABBBBBDAAABEEFBDDGGGEEFFDDGGGEFFFHGGHEEIIFHGGHHEEIFHHHHHHEIF,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.,100,Beginner,True,True
puzzle_3727,9,AAABCCCCDAAABBBCDDAAEEEBCCDFAAEEBCCDFFEEEECDDFFGEEEDDDFFGGGEEDDFFHHGGIIIFFFHHGGII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x...x......x...x,101,Beginner,True,True
puzzle_3385,9,AAAABBCCCAAAABCCCCADEABBBCCDDEAABBFCDEEEBBFFFGGEEEEFFHIGEEEEHHHIGGGIIHHHIIIIIIHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.x.x.x..........x.x.x.x..........x.x...x......x...x.x...x......x.,102,Beginner,True,True
puzzle_151,9,ABBBBBCCCAABBBBCCCAAABBBCCCAADDDDECCFGGGDDEHCFGIDDDEHHFGIIIIIHHFFIIIIIHHFFFIIIHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x.....x....x.x..x.x..........x.x...x......x...x.x....x.....x.,103,Beginner,True,True
puzzle_6290,9,AAABBCCCCDDABBCCCCDDAABCCCEDDAABBCCEDDFFBEEEEDGGFEEHHEDGFFEHHIIDGGFFFIIIGGGFIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x..........x.x....x.....xx....x......x...x..x...x......x....x.x....x..,103,Beginner,True,True
puzzle_4566,9,AAABBBBCCAAABBBDDCAAAABDDDCEFFFDDDCCEEEGDDGCCEEEGGGGCCEEHIIIICCHHHHIIICCHHHHIIIIC,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x..x.x....x.......x...x.x....x.....x.,105,Beginner,True,True
puzzle_2210,9,AAAABBCCCAAAAABBCCAADDDBBCCEDDEBBBCCEEEEBFFFFEEEEGGHFFIEEGGGHFFIIEIGGHFFIIIIGGGFF,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x....x.x....x......x...x..x...x......x....x.x....x......x...xx.....x....x.x....,106,Beginner,True,True
puzzle_8088,9,AABBBCCCCAABBBDDCCAADDDDDEEAAFFGDDEEAAFFGGGEEAFFFFGGEEHHHHHHGGEIIHIIHHEEIIIIHHEEE,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x....x.....xx...x......x...x..x.......x...x.x....x.....x....x.x....x.....x.,107,Beginner,True,True
puzzle_4474,9,ABBCCCCDEABBCCCCDEAABCBDDDEAFBBBBEEEAFFBGEEEEAAFGGHHEIAAGGGHHEIAAHGGHHIIHHHHHHHII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x..x.x....x.......x...x.x....x.....x.,108,Beginner,True,True
puzzle_2572,9,AAAAABBBBAACBBBBBDAACEBBBBDACCEEEFDDCCEEGEFFDHHEGGGFDDHHHGGIIIDHHHGGIIIDHHHGGIIID,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x.....x....x.x..x.x..........x.x...x......x...x.x....x.....x.,109,Beginner,True,True
puzzle_1982,9,AAAAAABBCAADAAEEBCFFDDEEEBCFFDDEECCCFFGDEEECCFFGHHEECCFFGHHHHCCFFGGIHHCCFIIIIIICC,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x..x.x.x...........x.x..x.x...........x.x..x.x....x.....x.....x....x.x...x...,110,Beginner,True,True
puzzle_3881,9,AAAAABCCCDDDAABBCCDDDBBBBBCEDDFGGGBCEDDFFFFBCEDDEFFFBBEEEEHHHHBIIEEHHHHHIIIIIHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x.....x....x.x....x......x....x.x..x.x..........x.x....x.....xx....x......x...x.,111,Beginner,True,True
puzzle_3927,9,AAAAAABBBAAAACCCBBACCCCCCBBDDEEEEEFFGDDEEEEFHGGGIIIFFHGGGIIIFFHGGGIIFFHHGGGIIFHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...,112,Beginner,True,True
